[Epoch 1/3] Step 140/29259 | Loss 1.8837 (avg 1.9767) | Batch 0.12s | Elapsed 21s | ETA 1h 15m 32s | Samples/s 130
[Epoch 1/3] Step 141/29259 | Loss 1.8272 (avg 1.9756) | Batch 0.13s | Elapsed 21s | ETA 1h 15m 25s | Samples/s 127
[Epoch 1/3] Step 142/29259 | Loss 1.8317 (avg 1.9746) | Batch 0.13s | Elapsed 22s | ETA 1h 15m 19s | Samples/s 127
[Epoch 1/3] Step 143/29259 | Loss 1.8993 (avg 1.9741) | Batch 0.12s | Elapsed 22s | ETA 1h 15m 13s | Samples/s 130
[Epoch 1/3] Step 144/29259 | Loss 1.8043 (avg 1.9729) | Batch 0.13s | Elapsed 22s | ETA 1h 15m 7s | Samples/s 127
[Epoch 1/3] Step 145/29259 | Loss 1.8459 (avg 1.9720) | Batch 0.12s | Elapsed 22s | ETA 1h 15m 0s | Samples/s 130
[Epoch 1/3] Step 146/29259 | Loss 2.0457 (avg 1.9725) | Batch 0.12s | Elapsed 22s | ETA 1h 14m 54s | Samples/s 130
[Epoch 1/3] Step 147/29259 | Loss 1.8073 (avg 1.9714) | Batch 0.12s | Elapsed 22s | ETA 1h 14m 48s | Samples/s 130
[Epoch 1/3] Step 148/29259 | Loss 1.9311 (avg 1.9711) | Batch 0.13s | Elapsed 22s | ETA 1h 14m 42s | Samples/s 127
[Epoch 1/3] Step 149/29259 | Loss 2.0123 (avg 1.9714) | Batch 0.13s | Elapsed 22s | ETA 1h 14m 37s | Samples/s 127
[Epoch 1/3] Step 150/29259 | Loss 1.9332 (avg 1.9711) | Batch 0.12s | Elapsed 23s | ETA 1h 14m 31s | Samples/s 130
[Epoch 1/3] Step 151/29259 | Loss 2.1401 (avg 1.9723) | Batch 0.12s | Elapsed 23s | ETA 1h 14m 25s | Samples/s 129
[Epoch 1/3] Step 152/29259 | Loss 2.0571 (avg 1.9728) | Batch 0.13s | Elapsed 23s | ETA 1h 14m 20s | Samples/s 127
[Epoch 1/3] Step 153/29259 | Loss 1.8354 (avg 1.9719) | Batch 0.12s | Elapsed 23s | ETA 1h 14m 14s | Samples/s 130
[Epoch 1/3] Step 154/29259 | Loss 1.7155 (avg 1.9703) | Batch 0.13s | Elapsed 23s | ETA 1h 14m 9s | Samples/s 127
[Epoch 1/3] Step 155/29259 | Loss 1.9821 (avg 1.9703) | Batch 0.12s | Elapsed 23s | ETA 1h 14m 3s | Samples/s 130
[Epoch 1/3] Step 156/29259 | Loss 1.8888 (avg 1.9698) | Batch 0.13s | Elapsed 23s | ETA 1h 13m 58s | Samples/s 127
[Epoch 1/3] Step 157/29259 | Loss 2.1519 (avg 1.9710) | Batch 0.12s | Elapsed 23s | ETA 1h 13m 53s | Samples/s 129
[Epoch 1/3] Step 158/29259 | Loss 2.0548 (avg 1.9715) | Batch 0.12s | Elapsed 24s | ETA 1h 13m 47s | Samples/s 130
[Epoch 1/3] Step 159/29259 | Loss 1.8707 (avg 1.9709) | Batch 0.12s | Elapsed 24s | ETA 1h 13m 42s | Samples/s 130
[Epoch 1/3] Step 160/29259 | Loss 1.8981 (avg 1.9704) | Batch 0.12s | Elapsed 24s | ETA 1h 13m 37s | Samples/s 129
[Epoch 1/3] Step 161/29259 | Loss 1.8211 (avg 1.9695) | Batch 0.12s | Elapsed 24s | ETA 1h 13m 32s | Samples/s 129
[Epoch 1/3] Step 162/29259 | Loss 1.8898 (avg 1.9690) | Batch 0.12s | Elapsed 24s | ETA 1h 13m 27s | Samples/s 129
[Epoch 1/3] Step 163/29259 | Loss 1.8789 (avg 1.9684) | Batch 0.12s | Elapsed 24s | ETA 1h 13m 22s | Samples/s 129
