[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[DATA] Loading JSON...
[DATA] Total records: 558128
[DATA] Train: 553128 | Val: 5000
[MODEL] Loading processors...
[MODEL] Loading CLIP...
[MODEL] Loading Gemma...
[MODEL] Building proj1...
[MODEL] Trainable params: 7.35M

============================================================
EPOCH 1/5
============================================================
[DATA] Starting train loop... (1080 batches)

[Epoch 1/5] Step 54/1080 | Loss 5.5090 (avg 5.9453) | Batch 1.42s | Elapsed 3m 21s | ETA 1h 3m 45s | Samples/s 360
[Epoch 1/5] Step 55/1080 | Loss 5.4765 (avg 5.9368) | Batch 1.42s | Elapsed 3m 24s | ETA 1h 3m 38s | Samples/s 360
[Epoch 1/5] Step 56/1080 | Loss 5.5157 (avg 5.9293) | Batch 1.42s | Elapsed 3m 28s | ETA 1h 3m 35s | Samples/s 360
[Epoch 1/5] Step 57/1080 | Loss 5.5116 (avg 5.9219) | Batch 1.42s | Elapsed 3m 32s | ETA 1h 3m 30s | Samples/s 359
[Epoch 1/5] Step 58/1080 | Loss 5.4889 (avg 5.9145) | Batch 1.43s | Elapsed 3m 36s | ETA 1h 3m 29s | Samples/s 359
[Epoch 1/5] Step 59/1080 | Loss 5.5175 (avg 5.9077) | Batch 1.42s | Elapsed 3m 39s | ETA 1h 3m 26s | Samples/s 359
[Epoch 1/5] Step 60/1080 | Loss 5.5159 (avg 5.9012) | Batch 1.42s | Elapsed 3m 43s | ETA 1h 3m 25s | Samples/s 359
[Epoch 1/5] Step 61/1080 | Loss 5.3928 (avg 5.8929) | Batch 1.42s | Elapsed 3m 47s | ETA 1h 3m 22s | Samples/s 359
[Epoch 1/5] Step 62/1080 | Loss 5.4544 (avg 5.8858) | Batch 1.42s | Elapsed 3m 51s | ETA 1h 3m 20s | Samples/s 359
[Epoch 1/5] Step 63/1080 | Loss 5.4321 (avg 5.8786) | Batch 1.42s | Elapsed 3m 55s | ETA 1h 3m 16s | Samples/s 359
[Epoch 1/5] Step 64/1080 | Loss 5.4296 (avg 5.8716) | Batch 1.42s | Elapsed 3m 58s | ETA 1h 3m 13s | Samples/s 359
[Epoch 1/5] Step 65/1080 | Loss 5.3872 (avg 5.8641) | Batch 1.42s | Elapsed 4m 2s | ETA 1h 3m 10s | Samples/s 359
[Epoch 1/5] Step 66/1080 | Loss 5.4321 (avg 5.8576) | Batch 1.42s | Elapsed 4m 6s | ETA 1h 3m 6s | Samples/s 359
[Epoch 1/5] Step 67/1080 | Loss 5.4569 (avg 5.8516) | Batch 1.43s | Elapsed 4m 10s | ETA 1h 3m 3s | Samples/s 359
[Epoch 1/5] Step 68/1080 | Loss 5.4125 (avg 5.8451) | Batch 1.43s | Elapsed 4m 14s | ETA 1h 3m 0s | Samples/s 359
[Epoch 1/5] Step 69/1080 | Loss 5.3922 (avg 5.8386) | Batch 1.42s | Elapsed 4m 17s | ETA 1h 2m 57s | Samples/s 359
[Epoch 1/5] Step 70/1080 | Loss 5.3435 (avg 5.8315) | Batch 1.43s | Elapsed 4m 21s | ETA 1h 2m 53s | Samples/s 359
[Epoch 1/5] Step 71/1080 | Loss 5.4125 (avg 5.8256) | Batch 1.42s | Elapsed 4m 25s | ETA 1h 2m 50s | Samples/s 359
[Epoch 1/5] Step 72/1080 | Loss 5.3330 (avg 5.8188) | Batch 1.42s | Elapsed 4m 28s | ETA 1h 2m 45s | Samples/s 359
[Epoch 1/5] Step 73/1080 | Loss 5.3365 (avg 5.8122) | Batch 1.43s | Elapsed 4m 32s | ETA 1h 2m 41s | Samples/s 359
[Epoch 1/5] Step 74/1080 | Loss 5.3597 (avg 5.8060) | Batch 1.43s | Elapsed 4m 36s | ETA 1h 2m 37s | Samples/s 359
[Epoch 1/5] Step 75/1080 | Loss 5.3922 (avg 5.8005) | Batch 1.43s | Elapsed 4m 40s | ETA 1h 2m 34s | Samples/s 359
[Epoch 1/5] Step 76/1080 | Loss 5.2735 (avg 5.7936) | Batch 1.42s | Elapsed 4m 43s | ETA 1h 2m 30s | Samples/s 359
[Epoch 1/5] Step 77/1080 | Loss 5.2880 (avg 5.7870) | Batch 1.43s | Elapsed 4m 47s | ETA 1h 2m 26s | Samples/s 359
[Epoch 1/5] Step 78/1080 | Loss 5.2595 (avg 5.7803) | Batch 1.43s | Elapsed 4m 51s | ETA 1h 2m 21s | Samples/s 359
[Epoch 1/5] Step 79/1080 | Loss 5.3098 (avg 5.7743) | Batch 1.43s | Elapsed 4m 54s | ETA 1h 2m 16s | Samples/s 359
[Epoch 1/5] Step 80/1080 | Loss 5.2804 (avg 5.7681) | Batch 1.43s | Elapsed 4m 58s | ETA 1h 2m 12s | Samples/s 359
[Epoch 1/5] Step 81/1080 | Loss 5.2527 (avg 5.7618) | Batch 1.43s | Elapsed 5m 2s | ETA 1h 2m 7s | Samples/s 359
[Epoch 1/5] Step 82/1080 | Loss 5.2858 (avg 5.7560) | Batch 1.43s | Elapsed 5m 5s | ETA 1h 2m 2s | Samples/s 359
[Epoch 1/5] Step 83/1080 | Loss 5.3217 (avg 5.7507) | Batch 1.42s | Elapsed 5m 9s | ETA 1h 1m 58s | Samples/s 359
[Epoch 1/5] Step 84/1080 | Loss 5.1993 (avg 5.7442) | Batch 1.42s | Elapsed 5m 13s | ETA 1h 1m 54s | Samples/s 359
[Epoch 1/5] Step 85/1080 | Loss 5.1816 (avg 5.7375) | Batch 1.42s | Elapsed 5m 16s | ETA 1h 1m 50s | Samples/s 359
[Epoch 1/5] Step 86/1080 | Loss 5.2638 (avg 5.7320) | Batch 1.42s | Elapsed 5m 20s | ETA 1h 1m 47s | Samples/s 359
[Epoch 1/5] Step 87/1080 | Loss 5.1728 (avg 5.7256) | Batch 1.42s | Elapsed 5m 24s | ETA 1h 1m 44s | Samples/s 359
[Epoch 1/5] Step 88/1080 | Loss 5.1943 (avg 5.7196) | Batch 1.42s | Elapsed 5m 27s | ETA 1h 1m 36s | Samples/s 360
[Epoch 1/5] Step 89/1080 | Loss 5.2107 (avg 5.7139) | Batch 1.42s | Elapsed 5m 31s | ETA 1h 1m 33s | Samples/s 360
[Epoch 1/5] Step 90/1080 | Loss 5.1901 (avg 5.7080) | Batch 1.42s | Elapsed 5m 35s | ETA 1h 1m 31s | Samples/s 360
[Epoch 1/5] Step 91/1080 | Loss 5.1974 (avg 5.7024) | Batch 1.42s | Elapsed 5m 39s | ETA 1h 1m 27s | Samples/s 360
[Epoch 1/5] Step 92/1080 | Loss 5.2067 (avg 5.6970) | Batch 1.42s | Elapsed 5m 43s | ETA 1h 1m 24s | Samples/s 359
[Epoch 1/5] Step 93/1080 | Loss 5.1982 (avg 5.6917) | Batch 1.42s | Elapsed 5m 46s | ETA 1h 1m 21s | Samples/s 360
[Epoch 1/5] Step 94/1080 | Loss 5.1274 (avg 5.6857) | Batch 1.42s | Elapsed 5m 50s | ETA 1h 1m 18s | Samples/s 360
[Epoch 1/5] Step 95/1080 | Loss 5.1611 (avg 5.6801) | Batch 1.42s | Elapsed 5m 54s | ETA 1h 1m 14s | Samples/s 360
[Epoch 1/5] Step 96/1080 | Loss 5.1303 (avg 5.6744) | Batch 1.42s | Elapsed 5m 58s | ETA 1h 1m 10s | Samples/s 360
[Epoch 1/5] Step 97/1080 | Loss 5.1414 (avg 5.6689) | Batch 1.42s | Elapsed 6m 1s | ETA 1h 1m 6s | Samples/s 360
[Epoch 1/5] Step 98/1080 | Loss 5.0966 (avg 5.6631) | Batch 1.42s | Elapsed 6m 5s | ETA 1h 1m 4s | Samples/s 360
[Epoch 1/5] Step 99/1080 | Loss 5.1172 (avg 5.6576) | Batch 1.42s | Elapsed 6m 9s | ETA 1h 0m 59s | Samples/s 360
[Epoch 1/5] Step 100/1080 | Loss 5.1266 (avg 5.6523) | Batch 1.42s | Elapsed 6m 12s | ETA 1h 0m 55s | Samples/s 360
[Epoch 1/5] Step 101/1080 | Loss 5.0883 (avg 5.6467) | Batch 1.42s | Elapsed 6m 16s | ETA 1h 0m 51s | Samples/s 360
[Epoch 1/5] Step 102/1080 | Loss 5.0596 (avg 5.6409) | Batch 1.42s | Elapsed 6m 20s | ETA 1h 0m 46s | Samples/s 360
[Epoch 1/5] Step 103/1080 | Loss 5.1077 (avg 5.6357) | Batch 1.42s | Elapsed 6m 24s | ETA 1h 0m 43s | Samples/s 360
[Epoch 1/5] Step 104/1080 | Loss 5.1286 (avg 5.6309) | Batch 1.42s | Elapsed 6m 27s | ETA 1h 0m 39s | Samples/s 360
[Epoch 1/5] Step 105/1080 | Loss 5.0807 (avg 5.6256) | Batch 1.42s | Elapsed 6m 31s | ETA 1h 0m 34s | Samples/s 359
[Epoch 1/5] Step 106/1080 | Loss 5.0284 (avg 5.6200) | Batch 1.42s | Elapsed 6m 35s | ETA 1h 0m 30s | Samples/s 360
[Epoch 1/5] Step 107/1080 | Loss 5.0750 (avg 5.6149) | Batch 1.42s | Elapsed 6m 38s | ETA 1h 0m 25s | Samples/s 359
[Epoch 1/5] Step 108/1080 | Loss 5.0073 (avg 5.6093) | Batch 1.42s | Elapsed 6m 42s | ETA 1h 0m 22s | Samples/s 359
[Epoch 1/5] Step 109/1080 | Loss 5.0442 (avg 5.6041) | Batch 1.42s | Elapsed 6m 46s | ETA 1h 0m 18s | Samples/s 359
[Epoch 1/5] Step 110/1080 | Loss 5.0218 (avg 5.5988) | Batch 1.42s | Elapsed 6m 49s | ETA 1h 0m 14s | Samples/s 359
[Epoch 1/5] Step 111/1080 | Loss 5.0798 (avg 5.5941) | Batch 1.43s | Elapsed 6m 53s | ETA 1h 0m 10s | Samples/s 359
[Epoch 1/5] Step 112/1080 | Loss 5.0469 (avg 5.5892) | Batch 1.43s | Elapsed 6m 57s | ETA 1h 0m 6s | Samples/s 359
[Epoch 1/5] Step 113/1080 | Loss 4.9579 (avg 5.5836) | Batch 1.43s | Elapsed 7m 0s | ETA 1h 0m 1s | Samples/s 359
[Epoch 1/5] Step 114/1080 | Loss 4.9697 (avg 5.5783) | Batch 1.43s | Elapsed 7m 4s | ETA 59m 57s | Samples/s 359
[Epoch 1/5] Step 115/1080 | Loss 5.0578 (avg 5.5737) | Batch 1.43s | Elapsed 7m 8s | ETA 59m 54s | Samples/s 359
[Epoch 1/5] Step 116/1080 | Loss 4.9842 (avg 5.5687) | Batch 1.43s | Elapsed 7m 12s | ETA 59m 50s | Samples/s 359
[Epoch 1/5] Step 117/1080 | Loss 5.0206 (avg 5.5640) | Batch 1.43s | Elapsed 7m 15s | ETA 59m 46s | Samples/s 359
[Epoch 1/5] Step 118/1080 | Loss 5.0188 (avg 5.5594) | Batch 1.43s | Elapsed 7m 19s | ETA 59m 42s | Samples/s 359
[Epoch 1/5] Step 119/1080 | Loss 5.0219 (avg 5.5548) | Batch 1.43s | Elapsed 7m 23s | ETA 59m 38s | Samples/s 359
[Epoch 1/5] Step 120/1080 | Loss 4.9995 (avg 5.5502) | Batch 1.43s | Elapsed 7m 26s | ETA 59m 35s | Samples/s 359
[Epoch 1/5] Step 121/1080 | Loss 4.9783 (avg 5.5455) | Batch 1.43s | Elapsed 7m 30s | ETA 59m 29s | Samples/s 359
[Epoch 1/5] Step 122/1080 | Loss 4.9213 (avg 5.5404) | Batch 1.43s | Elapsed 7m 34s | ETA 59m 26s | Samples/s 359
[Epoch 1/5] Step 123/1080 | Loss 4.9412 (avg 5.5355) | Batch 1.43s | Elapsed 7m 37s | ETA 59m 22s | Samples/s 359
[Epoch 1/5] Step 124/1080 | Loss 4.9344 (avg 5.5306) | Batch 1.43s | Elapsed 7m 41s | ETA 59m 19s | Samples/s 359
[Epoch 1/5] Step 125/1080 | Loss 4.9207 (avg 5.5258) | Batch 1.42s | Elapsed 7m 45s | ETA 59m 16s | Samples/s 359
[Epoch 1/5] Step 126/1080 | Loss 4.9622 (avg 5.5213) | Batch 1.42s | Elapsed 7m 49s | ETA 59m 12s | Samples/s 359
[Epoch 1/5] Step 127/1080 | Loss 4.9542 (avg 5.5168) | Batch 1.42s | Elapsed 7m 52s | ETA 59m 8s | Samples/s 359
[Epoch 1/5] Step 128/1080 | Loss 4.9614 (avg 5.5125) | Batch 1.42s | Elapsed 7m 56s | ETA 59m 5s | Samples/s 359
[Epoch 1/5] Step 129/1080 | Loss 4.9552 (avg 5.5082) | Batch 1.42s | Elapsed 8m 0s | ETA 59m 2s | Samples/s 359
[Epoch 1/5] Step 130/1080 | Loss 4.9448 (avg 5.5038) | Batch 1.42s | Elapsed 8m 4s | ETA 58m 59s | Samples/s 360
[Epoch 1/5] Step 131/1080 | Loss 4.9439 (avg 5.4996) | Batch 1.42s | Elapsed 8m 8s | ETA 58m 55s | Samples/s 360
[Epoch 1/5] Step 132/1080 | Loss 4.9094 (avg 5.4951) | Batch 1.42s | Elapsed 8m 11s | ETA 58m 51s | Samples/s 359
[Epoch 1/5] Step 133/1080 | Loss 4.9606 (avg 5.4911) | Batch 1.42s | Elapsed 8m 15s | ETA 58m 48s | Samples/s 359
[Epoch 1/5] Step 134/1080 | Loss 4.9149 (avg 5.4868) | Batch 1.42s | Elapsed 8m 19s | ETA 58m 45s | Samples/s 360
[Epoch 1/5] Step 135/1080 | Loss 4.8331 (avg 5.4819) | Batch 1.42s | Elapsed 8m 23s | ETA 58m 42s | Samples/s 360
[Epoch 1/5] Step 136/1080 | Loss 4.8917 (avg 5.4776) | Batch 1.42s | Elapsed 8m 26s | ETA 58m 37s | Samples/s 360
[Epoch 1/5] Step 137/1080 | Loss 4.8505 (avg 5.4730) | Batch 1.42s | Elapsed 8m 30s | ETA 58m 33s | Samples/s 360
[Epoch 1/5] Step 138/1080 | Loss 4.8569 (avg 5.4685) | Batch 1.42s | Elapsed 8m 34s | ETA 58m 29s | Samples/s 359
[Epoch 1/5] Step 139/1080 | Loss 4.8770 (avg 5.4643) | Batch 1.42s | Elapsed 8m 37s | ETA 58m 26s | Samples/s 360
[Epoch 1/5] Step 140/1080 | Loss 4.8823 (avg 5.4601) | Batch 1.42s | Elapsed 8m 41s | ETA 58m 22s | Samples/s 360
[Epoch 1/5] Step 141/1080 | Loss 4.8340 (avg 5.4557) | Batch 1.42s | Elapsed 8m 45s | ETA 58m 18s | Samples/s 360
[Epoch 1/5] Step 142/1080 | Loss 4.8250 (avg 5.4513) | Batch 1.42s | Elapsed 8m 48s | ETA 58m 14s | Samples/s 360
[Epoch 1/5] Step 143/1080 | Loss 4.8893 (avg 5.4473) | Batch 1.42s | Elapsed 8m 52s | ETA 58m 10s | Samples/s 360
[Epoch 1/5] Step 144/1080 | Loss 4.9032 (avg 5.4435) | Batch 1.42s | Elapsed 8m 56s | ETA 58m 5s | Samples/s 360
[Epoch 1/5] Step 145/1080 | Loss 4.8686 (avg 5.4396) | Batch 1.42s | Elapsed 8m 59s | ETA 58m 0s | Samples/s 360
[Epoch 1/5] Step 146/1080 | Loss 4.8704 (avg 5.4357) | Batch 1.42s | Elapsed 9m 3s | ETA 57m 56s | Samples/s 360
[Epoch 1/5] Step 147/1080 | Loss 4.8533 (avg 5.4317) | Batch 1.42s | Elapsed 9m 7s | ETA 57m 52s | Samples/s 360
[Epoch 1/5] Step 148/1080 | Loss 4.8114 (avg 5.4275) | Batch 1.42s | Elapsed 9m 10s | ETA 57m 48s | Samples/s 360
[Epoch 1/5] Step 149/1080 | Loss 4.8794 (avg 5.4238) | Batch 1.42s | Elapsed 9m 14s | ETA 57m 44s | Samples/s 360
[Epoch 1/5] Step 150/1080 | Loss 4.9095 (avg 5.4204) | Batch 1.42s | Elapsed 9m 18s | ETA 57m 39s | Samples/s 360
[Epoch 1/5] Step 151/1080 | Loss 4.8199 (avg 5.4164) | Batch 1.42s | Elapsed 9m 21s | ETA 57m 35s | Samples/s 360
[Epoch 1/5] Step 152/1080 | Loss 4.8622 (avg 5.4128) | Batch 1.42s | Elapsed 9m 25s | ETA 57m 31s | Samples/s 359
[Epoch 1/5] Step 153/1080 | Loss 4.8651 (avg 5.4092) | Batch 1.42s | Elapsed 9m 29s | ETA 57m 28s | Samples/s 360
[Epoch 1/5] Step 154/1080 | Loss 4.7874 (avg 5.4052) | Batch 1.42s | Elapsed 9m 32s | ETA 57m 23s | Samples/s 360
[Epoch 1/5] Step 155/1080 | Loss 4.8188 (avg 5.4014) | Batch 1.42s | Elapsed 9m 36s | ETA 57m 18s | Samples/s 359
[Epoch 1/5] Step 156/1080 | Loss 4.8288 (avg 5.3977) | Batch 1.42s | Elapsed 9m 40s | ETA 57m 16s | Samples/s 359
[Epoch 1/5] Step 157/1080 | Loss 4.7985 (avg 5.3939) | Batch 1.42s | Elapsed 9m 43s | ETA 57m 12s | Samples/s 359
[Epoch 1/5] Step 158/1080 | Loss 4.8574 (avg 5.3905) | Batch 1.42s | Elapsed 9m 47s | ETA 57m 9s | Samples/s 359
[Epoch 1/5] Step 159/1080 | Loss 4.7354 (avg 5.3864) | Batch 1.42s | Elapsed 9m 51s | ETA 57m 5s | Samples/s 359
[Epoch 1/5] Step 160/1080 | Loss 4.8078 (avg 5.3828) | Batch 1.42s | Elapsed 9m 55s | ETA 57m 1s | Samples/s 359
[Epoch 1/5] Step 161/1080 | Loss 4.7574 (avg 5.3789) | Batch 1.42s | Elapsed 9m 58s | ETA 56m 58s | Samples/s 359
[Epoch 1/5] Step 162/1080 | Loss 4.7939 (avg 5.3753) | Batch 1.42s | Elapsed 10m 2s | ETA 56m 54s | Samples/s 360
[Epoch 1/5] Step 163/1080 | Loss 4.7419 (avg 5.3714) | Batch 1.42s | Elapsed 10m 6s | ETA 56m 50s | Samples/s 360
[Epoch 1/5] Step 164/1080 | Loss 4.7569 (avg 5.3676) | Batch 1.42s | Elapsed 10m 9s | ETA 56m 46s | Samples/s 360
[Epoch 1/5] Step 165/1080 | Loss 4.7984 (avg 5.3642) | Batch 1.42s | Elapsed 10m 13s | ETA 56m 42s | Samples/s 360
[Epoch 1/5] Step 166/1080 | Loss 4.8027 (avg 5.3608) | Batch 1.42s | Elapsed 10m 17s | ETA 56m 39s | Samples/s 360
[Epoch 1/5] Step 167/1080 | Loss 4.6682 (avg 5.3567) | Batch 1.42s | Elapsed 10m 21s | ETA 56m 35s | Samples/s 360
[Epoch 1/5] Step 168/1080 | Loss 4.7621 (avg 5.3531) | Batch 1.42s | Elapsed 10m 24s | ETA 56m 31s | Samples/s 360
[Epoch 1/5] Step 169/1080 | Loss 4.7581 (avg 5.3496) | Batch 1.42s | Elapsed 10m 28s | ETA 56m 28s | Samples/s 360
[Epoch 1/5] Step 170/1080 | Loss 4.7844 (avg 5.3463) | Batch 1.42s | Elapsed 10m 32s | ETA 56m 25s | Samples/s 360
