[DEVICE] cuda
[GPU] NVIDIA H100 PCIe | VRAM 85.0GB
[MODEL] Loading processors...
[DATA] Building cached datasets...
[CACHE] Loading llava.pt into RAM...
[CACHE] llava.pt loaded in 4s (81479 tensors)
[LLaVA-Instruct] 361411 samples from 157712 records
[CACHE] Loading gqa_train.pt into RAM...
[CACHE] gqa_train.pt loaded in 3s (72140 tensors)
[GQA Train] 72140 unique image samples
[CACHE] Loading textvqa_train.pt into RAM...
[CACHE] textvqa_train.pt loaded in 1s (34602 tensors)
/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[TextVQA] 34602 samples from ../data/textvqa_train_disk
[DATA] Total train samples: 468153
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 8409.20it/s]
[MODEL] Building proj2 (768→896 via 2048)...
[MODEL] Trainable: 501.6M params

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (7314 batches)

[Epoch 1/3] Step 12/7314 | Loss 2.1243 (avg 2.2404) | Batch 0.41s | Elapsed 6s | ETA 1h 2m 8s | Samples/s 158
[Epoch 1/3] Step 13/7314 | Loss 2.0868 (avg 2.2286) | Batch 0.40s | Elapsed 6s | ETA 1h 1m 7s | Samples/s 159
[Epoch 1/3] Step 14/7314 | Loss 1.9694 (avg 2.2101) | Batch 0.40s | Elapsed 6s | ETA 1h 0m 16s | Samples/s 158
[Epoch 1/3] Step 15/7314 | Loss 1.9638 (avg 2.1937) | Batch 0.41s | Elapsed 7s | ETA 59m 32s | Samples/s 158
[Epoch 1/3] Step 16/7314 | Loss 2.0590 (avg 2.1853) | Batch 0.41s | Elapsed 7s | ETA 58m 53s | Samples/s 158
[Epoch 1/3] Step 17/7314 | Loss 2.0859 (avg 2.1794) | Batch 0.41s | Elapsed 8s | ETA 58m 19s | Samples/s 158
[Epoch 1/3] Step 18/7314 | Loss 1.9085 (avg 2.1644) | Batch 0.41s | Elapsed 8s | ETA 57m 49s | Samples/s 157
[Epoch 1/3] Step 19/7314 | Loss 1.8929 (avg 2.1501) | Batch 0.41s | Elapsed 8s | ETA 57m 23s | Samples/s 157
[Epoch 1/3] Step 20/7314 | Loss 2.0686 (avg 2.1460) | Batch 0.41s | Elapsed 9s | ETA 56m 58s | Samples/s 158
[Epoch 1/3] Step 21/7314 | Loss 1.9056 (avg 2.1346) | Batch 0.40s | Elapsed 9s | ETA 56m 36s | Samples/s 158
[Epoch 1/3] Step 22/7314 | Loss 1.9107 (avg 2.1244) | Batch 0.41s | Elapsed 10s | ETA 56m 15s | Samples/s 158
[Epoch 1/3] Step 23/7314 | Loss 2.0019 (avg 2.1191) | Batch 0.41s | Elapsed 10s | ETA 55m 57s | Samples/s 158
[Epoch 1/3] Step 24/7314 | Loss 1.8857 (avg 2.1093) | Batch 0.40s | Elapsed 10s | ETA 55m 39s | Samples/s 158
[Epoch 1/3] Step 25/7314 | Loss 1.9633 (avg 2.1035) | Batch 0.41s | Elapsed 11s | ETA 55m 24s | Samples/s 157
[Epoch 1/3] Step 26/7314 | Loss 1.9652 (avg 2.0982) | Batch 0.41s | Elapsed 11s | ETA 55m 10s | Samples/s 157
[Epoch 1/3] Step 27/7314 | Loss 1.8693 (avg 2.0897) | Batch 0.41s | Elapsed 12s | ETA 54m 57s | Samples/s 158
[Epoch 1/3] Step 28/7314 | Loss 1.8355 (avg 2.0806) | Batch 0.41s | Elapsed 12s | ETA 54m 45s | Samples/s 157
[Epoch 1/3] Step 29/7314 | Loss 1.9263 (avg 2.0753) | Batch 0.41s | Elapsed 13s | ETA 54m 33s | Samples/s 157
[Epoch 1/3] Step 30/7314 | Loss 1.8842 (avg 2.0689) | Batch 0.41s | Elapsed 13s | ETA 54m 22s | Samples/s 158
[Epoch 1/3] Step 31/7314 | Loss 1.9231 (avg 2.0642) | Batch 0.41s | Elapsed 13s | ETA 54m 13s | Samples/s 157
[Epoch 1/3] Step 32/7314 | Loss 1.9510 (avg 2.0607) | Batch 0.41s | Elapsed 14s | ETA 54m 3s | Samples/s 157
[Epoch 1/3] Step 33/7314 | Loss 2.0119 (avg 2.0592) | Batch 0.41s | Elapsed 14s | ETA 53m 55s | Samples/s 157
[Epoch 1/3] Step 34/7314 | Loss 1.8479 (avg 2.0530) | Batch 0.41s | Elapsed 15s | ETA 53m 47s | Samples/s 157
[Epoch 1/3] Step 35/7314 | Loss 1.8627 (avg 2.0476) | Batch 0.41s | Elapsed 15s | ETA 53m 38s | Samples/s 158
[Epoch 1/3] Step 36/7314 | Loss 1.8576 (avg 2.0423) | Batch 0.41s | Elapsed 15s | ETA 53m 31s | Samples/s 158
[Epoch 1/3] Step 37/7314 | Loss 1.9276 (avg 2.0392) | Batch 0.41s | Elapsed 16s | ETA 53m 24s | Samples/s 157
[Epoch 1/3] Step 38/7314 | Loss 2.0517 (avg 2.0395) | Batch 0.41s | Elapsed 16s | ETA 53m 17s | Samples/s 156
[Epoch 1/3] Step 39/7314 | Loss 1.8509 (avg 2.0347) | Batch 0.41s | Elapsed 17s | ETA 53m 11s | Samples/s 157
[Epoch 1/3] Step 40/7314 | Loss 2.0256 (avg 2.0344) | Batch 0.41s | Elapsed 17s | ETA 53m 5s | Samples/s 157
[Epoch 1/3] Step 41/7314 | Loss 1.8986 (avg 2.0311) | Batch 0.41s | Elapsed 17s | ETA 52m 59s | Samples/s 157
[Epoch 1/3] Step 42/7314 | Loss 1.8811 (avg 2.0276) | Batch 0.41s | Elapsed 18s | ETA 52m 53s | Samples/s 157
[Epoch 1/3] Step 43/7314 | Loss 1.9007 (avg 2.0246) | Batch 0.41s | Elapsed 18s | ETA 52m 48s | Samples/s 157
[Epoch 1/3] Step 44/7314 | Loss 1.9073 (avg 2.0219) | Batch 0.41s | Elapsed 19s | ETA 52m 44s | Samples/s 156
[Epoch 1/3] Step 45/7314 | Loss 1.8787 (avg 2.0188) | Batch 0.41s | Elapsed 19s | ETA 52m 39s | Samples/s 157
[Epoch 1/3] Step 46/7314 | Loss 1.9359 (avg 2.0170) | Batch 0.41s | Elapsed 19s | ETA 52m 34s | Samples/s 156
[Epoch 1/3] Step 47/7314 | Loss 1.8370 (avg 2.0131) | Batch 0.41s | Elapsed 20s | ETA 52m 30s | Samples/s 157
[Epoch 1/3] Step 48/7314 | Loss 1.8763 (avg 2.0103) | Batch 0.41s | Elapsed 20s | ETA 52m 25s | Samples/s 157
[Epoch 1/3] Step 49/7314 | Loss 1.8135 (avg 2.0063) | Batch 0.41s | Elapsed 21s | ETA 52m 21s | Samples/s 157
[Epoch 1/3] Step 50/7314 | Loss 1.9595 (avg 2.0053) | Batch 0.41s | Elapsed 21s | ETA 52m 17s | Samples/s 157
[Epoch 1/3] Step 51/7314 | Loss 1.9333 (avg 2.0039) | Batch 0.41s | Elapsed 22s | ETA 52m 14s | Samples/s 156
[Epoch 1/3] Step 52/7314 | Loss 2.1525 (avg 2.0068) | Batch 0.41s | Elapsed 22s | ETA 52m 10s | Samples/s 157
[Epoch 1/3] Step 53/7314 | Loss 1.9368 (avg 2.0055) | Batch 0.41s | Elapsed 22s | ETA 52m 7s | Samples/s 156
[Epoch 1/3] Step 54/7314 | Loss 2.0774 (avg 2.0068) | Batch 0.41s | Elapsed 23s | ETA 52m 3s | Samples/s 158
[Epoch 1/3] Step 55/7314 | Loss 1.8457 (avg 2.0039) | Batch 0.41s | Elapsed 23s | ETA 52m 0s | Samples/s 157
[Epoch 1/3] Step 56/7314 | Loss 1.9070 (avg 2.0021) | Batch 0.41s | Elapsed 24s | ETA 51m 57s | Samples/s 156
[Epoch 1/3] Step 57/7314 | Loss 1.9174 (avg 2.0006) | Batch 0.41s | Elapsed 24s | ETA 51m 54s | Samples/s 156
[Epoch 1/3] Step 58/7314 | Loss 1.8674 (avg 1.9983) | Batch 0.41s | Elapsed 24s | ETA 51m 51s | Samples/s 156
[Epoch 1/3] Step 59/7314 | Loss 1.8743 (avg 1.9962) | Batch 0.41s | Elapsed 25s | ETA 51m 48s | Samples/s 156
[Epoch 1/3] Step 60/7314 | Loss 1.7766 (avg 1.9926) | Batch 0.41s | Elapsed 25s | ETA 51m 46s | Samples/s 156
[Epoch 1/3] Step 61/7314 | Loss 1.9446 (avg 1.9918) | Batch 0.41s | Elapsed 26s | ETA 51m 43s | Samples/s 157
