[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building cached datasets...
[CACHE] Loading llava.pt into RAM...
[CACHE] llava.pt loaded in 4s (81479 tensors)
[LLaVA-Instruct] 361411 samples from 157712 records
[CACHE] Loading gqa_train.pt into RAM...
[CACHE] gqa_train.pt loaded in 3s (72140 tensors)
[GQA Train] 72140 unique image samples
[CACHE] Loading textvqa_train.pt into RAM...
[CACHE] textvqa_train.pt loaded in 1s (34602 tensors)
/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[TextVQA] 34602 samples from ../data/textvqa_train_disk
[DATA] Total train samples: 468153
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 8666.29it/s]
[MODEL] Building proj2 (768→896 via 2048)...
[MODEL] Trainable: 501.6M params

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 49/29259 | Loss 1.8946 (avg 2.0379) | Batch 0.56s | Elapsed 27s | ETA 4h 36m 0s | Samples/s 29
[Epoch 1/3] Step 50/29259 | Loss 1.6769 (avg 2.0307) | Batch 0.55s | Elapsed 28s | ETA 4h 35m 51s | Samples/s 29
[Epoch 1/3] Step 51/29259 | Loss 1.9540 (avg 2.0292) | Batch 0.56s | Elapsed 28s | ETA 4h 35m 45s | Samples/s 29
[Epoch 1/3] Step 52/29259 | Loss 1.9495 (avg 2.0277) | Batch 0.56s | Elapsed 29s | ETA 4h 35m 41s | Samples/s 29
[Epoch 1/3] Step 53/29259 | Loss 1.8399 (avg 2.0241) | Batch 0.56s | Elapsed 30s | ETA 4h 35m 37s | Samples/s 29
[Epoch 1/3] Step 54/29259 | Loss 1.7073 (avg 2.0183) | Batch 0.56s | Elapsed 30s | ETA 4h 35m 33s | Samples/s 29
[Epoch 1/3] Step 55/29259 | Loss 1.8811 (avg 2.0158) | Batch 0.56s | Elapsed 31s | ETA 4h 35m 27s | Samples/s 29
[Epoch 1/3] Step 56/29259 | Loss 2.0070 (avg 2.0156) | Batch 0.56s | Elapsed 31s | ETA 4h 35m 21s | Samples/s 29
[Epoch 1/3] Step 57/29259 | Loss 1.8102 (avg 2.0120) | Batch 0.56s | Elapsed 32s | ETA 4h 35m 17s | Samples/s 29
[Epoch 1/3] Step 58/29259 | Loss 1.9352 (avg 2.0107) | Batch 0.55s | Elapsed 32s | ETA 4h 35m 10s | Samples/s 29
[Epoch 1/3] Step 59/29259 | Loss 1.9816 (avg 2.0102) | Batch 0.56s | Elapsed 33s | ETA 4h 35m 5s | Samples/s 29
[Epoch 1/3] Step 60/29259 | Loss 1.7799 (avg 2.0064) | Batch 0.56s | Elapsed 33s | ETA 4h 35m 1s | Samples/s 29
