[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...

Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 199/199 [00:00<00:00, 50509.32it/s]
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 9920.06it/s]
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/5
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/5] Step 90/29259 | Loss 1.9784 (avg 1.8679) | Elapsed 52s | ETA 4h 44m 38s | Samples/s 27
[Epoch 1/5] Step 91/29259 | Loss 1.8224 (avg 1.8674) | Elapsed 53s | ETA 4h 44m 35s | Samples/s 27
[Epoch 1/5] Step 92/29259 | Loss 1.8915 (avg 1.8677) | Elapsed 53s | ETA 4h 44m 32s | Samples/s 27
[Epoch 1/5] Step 93/29259 | Loss 1.8416 (avg 1.8674) | Elapsed 54s | ETA 4h 44m 31s | Samples/s 27
[Epoch 1/5] Step 94/29259 | Loss 1.4511 (avg 1.8630) | Elapsed 55s | ETA 4h 44m 28s | Samples/s 27
[Epoch 1/5] Step 95/29259 | Loss 1.8167 (avg 1.8625) | Elapsed 55s | ETA 4h 44m 25s | Samples/s 27
[Epoch 1/5] Step 96/29259 | Loss 1.7278 (avg 1.8611) | Elapsed 56s | ETA 4h 44m 23s | Samples/s 27
[Epoch 1/5] Step 97/29259 | Loss 1.8321 (avg 1.8608) | Elapsed 56s | ETA 4h 44m 22s | Samples/s 27
[Epoch 1/5] Step 98/29259 | Loss 1.8338 (avg 1.8605) | Elapsed 57s | ETA 4h 44m 20s | Samples/s 27
[Epoch 1/5] Step 99/29259 | Loss 1.8181 (avg 1.8601) | Elapsed 57s | ETA 4h 44m 20s | Samples/s 27
[Epoch 1/5] Step 100/29259 | Loss 2.0261 (avg 1.8617) | Elapsed 58s | ETA 4h 44m 17s | Samples/s 27
[Epoch 1/5] Step 101/29259 | Loss 1.7852 (avg 1.8610) | Elapsed 59s | ETA 4h 44m 15s | Samples/s 27
[Epoch 1/5] Step 102/29259 | Loss 1.7286 (avg 1.8597) | Elapsed 59s | ETA 4h 44m 13s | Samples/s 27
[Epoch 1/5] Step 103/29259 | Loss 1.8514 (avg 1.8596) | Elapsed 1m 0s | ETA 4h 44m 11s | Samples/s 27
[Epoch 1/5] Step 104/29259 | Loss 1.8656 (avg 1.8597) | Elapsed 1m 0s | ETA 4h 44m 9s | Samples/s 27
[Epoch 1/5] Step 105/29259 | Loss 1.8396 (avg 1.8595) | Elapsed 1m 1s | ETA 4h 44m 7s | Samples/s 27
[Epoch 1/5] Step 106/29259 | Loss 1.7946 (avg 1.8589) | Elapsed 1m 1s | ETA 4h 44m 5s | Samples/s 27
[Epoch 1/5] Step 107/29259 | Loss 1.6528 (avg 1.8569) | Elapsed 1m 2s | ETA 4h 44m 3s | Samples/s 27
[Epoch 1/5] Step 108/29259 | Loss 1.7922 (avg 1.8563) | Elapsed 1m 3s | ETA 4h 44m 0s | Samples/s 27
[Epoch 1/5] Step 109/29259 | Loss 1.8109 (avg 1.8559) | Elapsed 1m 3s | ETA 4h 43m 57s | Samples/s 27
[Epoch 1/5] Step 110/29259 | Loss 1.8356 (avg 1.8557) | Elapsed 1m 4s | ETA 4h 43m 56s | Samples/s 27
[Epoch 1/5] Step 111/29259 | Loss 1.6273 (avg 1.8537) | Elapsed 1m 4s | ETA 4h 43m 55s | Samples/s 27
[Epoch 1/5] Step 112/29259 | Loss 1.7209 (avg 1.8525) | Elapsed 1m 5s | ETA 4h 43m 54s | Samples/s 27
[Epoch 1/5] Step 113/29259 | Loss 1.8902 (avg 1.8528) | Elapsed 1m 6s | ETA 4h 43m 53s | Samples/s 27
[Epoch 1/5] Step 114/29259 | Loss 1.8259 (avg 1.8526) | Elapsed 1m 6s | ETA 4h 43m 51s | Samples/s 27
[Epoch 1/5] Step 115/29259 | Loss 1.7803 (avg 1.8520) | Elapsed 1m 7s | ETA 4h 43m 49s | Samples/s 27
[Epoch 1/5] Step 116/29259 | Loss 1.7980 (avg 1.8515) | Elapsed 1m 7s | ETA 4h 43m 48s | Samples/s 27
[Epoch 1/5] Step 117/29259 | Loss 1.7222 (avg 1.8504) | Elapsed 1m 8s | ETA 4h 43m 47s | Samples/s 27
[Epoch 1/5] Step 118/29259 | Loss 1.9357 (avg 1.8511) | Elapsed 1m 8s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 119/29259 | Loss 1.7009 (avg 1.8499) | Elapsed 1m 9s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 120/29259 | Loss 1.8759 (avg 1.8501) | Elapsed 1m 10s | ETA 4h 43m 45s | Samples/s 27
[Epoch 1/5] Step 121/29259 | Loss 1.7404 (avg 1.8492) | Elapsed 1m 10s | ETA 4h 43m 45s | Samples/s 27
[Epoch 1/5] Step 122/29259 | Loss 1.7990 (avg 1.8488) | Elapsed 1m 11s | ETA 4h 43m 44s | Samples/s 27
[Epoch 1/5] Step 123/29259 | Loss 1.8640 (avg 1.8489) | Elapsed 1m 11s | ETA 4h 43m 44s | Samples/s 27
[Epoch 1/5] Step 124/29259 | Loss 1.7892 (avg 1.8484) | Elapsed 1m 12s | ETA 4h 43m 44s | Samples/s 27
[Epoch 1/5] Step 125/29259 | Loss 1.7992 (avg 1.8480) | Elapsed 1m 13s | ETA 4h 43m 43s | Samples/s 27
[Epoch 1/5] Step 126/29259 | Loss 1.7900 (avg 1.8475) | Elapsed 1m 13s | ETA 4h 43m 43s | Samples/s 27
[Epoch 1/5] Step 127/29259 | Loss 1.7634 (avg 1.8469) | Elapsed 1m 14s | ETA 4h 43m 44s | Samples/s 27
[Epoch 1/5] Step 128/29259 | Loss 1.6758 (avg 1.8455) | Elapsed 1m 14s | ETA 4h 43m 45s | Samples/s 27
[Epoch 1/5] Step 129/29259 | Loss 1.9766 (avg 1.8466) | Elapsed 1m 15s | ETA 4h 43m 44s | Samples/s 27
[Epoch 1/5] Step 130/29259 | Loss 1.8910 (avg 1.8469) | Elapsed 1m 15s | ETA 4h 43m 44s | Samples/s 27
[Epoch 1/5] Step 131/29259 | Loss 1.7834 (avg 1.8464) | Elapsed 1m 16s | ETA 4h 43m 45s | Samples/s 27
[Epoch 1/5] Step 132/29259 | Loss 1.7538 (avg 1.8457) | Elapsed 1m 17s | ETA 4h 43m 44s | Samples/s 27
