[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...
[MODEL] Loading Qwen (trainable)...
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 12/29259 | Loss 1.9129 (avg 2.0357) | Elapsed 5s | ETA 3h 26m 5s | Samples/s 38
[Epoch 1/3] Step 13/29259 | Loss 2.0578 (avg 2.0374) | Elapsed 5s | ETA 3h 19m 39s | Samples/s 39
[Epoch 1/3] Step 14/29259 | Loss 2.0284 (avg 2.0367) | Elapsed 5s | ETA 3h 14m 7s | Samples/s 40
[Epoch 1/3] Step 15/29259 | Loss 1.9908 (avg 2.0337) | Elapsed 5s | ETA 3h 9m 26s | Samples/s 41
[Epoch 1/3] Step 16/29259 | Loss 1.9794 (avg 2.0303) | Elapsed 6s | ETA 3h 5m 12s | Samples/s 42
[Epoch 1/3] Step 17/29259 | Loss 1.9235 (avg 2.0240) | Elapsed 6s | ETA 3h 1m 35s | Samples/s 43
[Epoch 1/3] Step 18/29259 | Loss 1.9122 (avg 2.0178) | Elapsed 6s | ETA 2h 58m 14s | Samples/s 44
[Epoch 1/3] Step 19/29259 | Loss 1.8821 (avg 2.0106) | Elapsed 6s | ETA 2h 55m 17s | Samples/s 44
[Epoch 1/3] Step 20/29259 | Loss 2.0665 (avg 2.0134) | Elapsed 7s | ETA 2h 52m 37s | Samples/s 45
[Epoch 1/3] Step 21/29259 | Loss 1.8298 (avg 2.0047) | Elapsed 7s | ETA 2h 50m 15s | Samples/s 46
