[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples from 157712 records
[GQA Train] 943000 samples
[TextVQA] 34602 samples from ../data/textvqa_train_disk
[DATA] Total train samples: 1339013
[MODEL] Loading CLIP...
[MODEL] Loading Gemma (frozen, 24 layers, hidden=768)...
[MODEL] Loading Qwen (trainable, 24 layers, hidden=896)...
[MODEL] Building proj1 (768→768 via 2048) and proj2 (768→896 via 2048)...
[CKPT] Loading Stage 1 proj1 from ../checkpoints/stage1/stage1_best.pt
  Stage 1 val loss was: 2.4596 (epoch 5)
[MODEL] Trainable: 509.0M params

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (83688 batches)

[Epoch 1/3] Step 14/83688 | Loss 0.0000 (avg 4.2842) | Batch 0.47s | Elapsed 10s | ETA 18h 7m 48s | Samples/s 34
[Epoch 1/3] Step 15/83688 | Loss 0.0037 (avg 3.9988) | Batch 0.47s | Elapsed 11s | ETA 18h 2m 9s | Samples/s 34
[Epoch 1/3] Step 16/83688 | Loss 0.4940 (avg 3.7797) | Batch 0.47s | Elapsed 12s | ETA 17h 55m 5s | Samples/s 34
[Epoch 1/3] Step 17/83688 | Loss 0.6978 (avg 3.5985) | Batch 0.48s | Elapsed 13s | ETA 17h 56m 49s | Samples/s 34
[Epoch 1/3] Step 18/83688 | Loss 0.0000 (avg 3.3985) | Batch 0.47s | Elapsed 13s | ETA 17h 54m 7s | Samples/s 34
[Epoch 1/3] Step 19/83688 | Loss 0.0000 (avg 3.2197) | Batch 0.48s | Elapsed 14s | ETA 17h 54m 15s | Samples/s 34
[Epoch 1/3] Step 20/83688 | Loss 0.0000 (avg 3.0587) | Batch 0.47s | Elapsed 15s | ETA 17h 45m 43s | Samples/s 34
[Epoch 1/3] Step 21/83688 | Loss 0.0000 (avg 2.9130) | Batch 0.47s | Elapsed 16s | ETA 17h 51m 13s | Samples/s 34
[Epoch 1/3] Step 22/83688 | Loss 0.0353 (avg 2.7822) | Batch 0.47s | Elapsed 16s | ETA 17h 50m 36s | Samples/s 34
[Epoch 1/3] Step 23/83688 | Loss 0.0000 (avg 2.6613) | Batch 0.48s | Elapsed 17s | ETA 17h 52m 8s | Samples/s 34
[Epoch 1/3] Step 24/83688 | Loss 0.0000 (avg 2.5504) | Batch 0.47s | Elapsed 18s | ETA 17h 50m 52s | Samples/s 34
[Epoch 1/3] Step 25/83688 | Loss 0.0463 (avg 2.4502) | Batch 0.47s | Elapsed 19s | ETA 17h 56m 5s | Samples/s 34
[Epoch 1/3] Step 26/83688 | Loss 0.0000 (avg 2.3560) | Batch 0.48s | Elapsed 20s | ETA 17h 56m 10s | Samples/s 34
[Epoch 1/3] Step 27/83688 | Loss 0.0000 (avg 2.2687) | Batch 0.47s | Elapsed 20s | ETA 17h 57m 46s | Samples/s 34
[Epoch 1/3] Step 28/83688 | Loss 0.0000 (avg 2.1877) | Batch 0.48s | Elapsed 21s | ETA 17h 57m 15s | Samples/s 33
[Epoch 1/3] Step 29/83688 | Loss 1.4616 (avg 2.1627) | Batch 0.48s | Elapsed 22s | ETA 17h 56m 20s | Samples/s 34
[Epoch 1/3] Step 30/83688 | Loss 0.0000 (avg 2.0906) | Batch 0.47s | Elapsed 23s | ETA 18h 1m 37s | Samples/s 34
[Epoch 1/3] Step 31/83688 | Loss 0.7958 (avg 2.0488) | Batch 0.48s | Elapsed 24s | ETA 18h 0m 43s | Samples/s 33
[Epoch 1/3] Step 32/83688 | Loss 1.3034 (avg 2.0255) | Batch 0.48s | Elapsed 24s | ETA 18h 4m 10s | Samples/s 33
[Epoch 1/3] Step 33/83688 | Loss 0.0000 (avg 1.9641) | Batch 0.48s | Elapsed 25s | ETA 18h 2m 29s | Samples/s 34
[Epoch 1/3] Step 34/83688 | Loss 0.0000 (avg 1.9064) | Batch 0.48s | Elapsed 26s | ETA 18h 4m 9s | Samples/s 34
[Epoch 1/3] Step 35/83688 | Loss 0.0001 (avg 1.8519) | Batch 0.47s | Elapsed 27s | ETA 18h 1m 57s | Samples/s 34
[Epoch 1/3] Step 36/83688 | Loss 0.5192 (avg 1.8149) | Batch 0.48s | Elapsed 27s | ETA 18h 3m 47s | Samples/s 33
[Epoch 1/3] Step 37/83688 | Loss 0.0003 (avg 1.7658) | Batch 0.48s | Elapsed 28s | ETA 18h 3m 3s | Samples/s 34
[Epoch 1/3] Step 38/83688 | Loss 0.0052 (avg 1.7195) | Batch 0.48s | Elapsed 29s | ETA 18h 1m 41s | Samples/s 34
[Epoch 1/3] Step 39/83688 | Loss 0.0006 (avg 1.6754) | Batch 0.48s | Elapsed 30s | ETA 18h 0m 55s | Samples/s 34
[Epoch 1/3] Step 40/83688 | Loss 0.0000 (avg 1.6335) | Batch 0.48s | Elapsed 30s | ETA 17h 59m 59s | Samples/s 33
[Epoch 1/3] Step 41/83688 | Loss 0.2971 (avg 1.6009) | Batch 0.47s | Elapsed 31s | ETA 17h 55m 47s | Samples/s 34
[Epoch 1/3] Step 42/83688 | Loss 0.0004 (avg 1.5628) | Batch 0.48s | Elapsed 32s | ETA 17h 54m 43s | Samples/s 33
[Epoch 1/3] Step 43/83688 | Loss 1.0999 (avg 1.5521) | Batch 0.48s | Elapsed 33s | ETA 17h 53m 6s | Samples/s 33
[Epoch 1/3] Step 44/83688 | Loss 0.0012 (avg 1.5168) | Batch 0.48s | Elapsed 33s | ETA 17h 51m 59s | Samples/s 33
[Epoch 1/3] Step 45/83688 | Loss 2.3763 (avg 1.5359) | Batch 0.47s | Elapsed 34s | ETA 17h 55m 9s | Samples/s 34
[Epoch 1/3] Step 46/83688 | Loss 0.0000 (avg 1.5025) | Batch 0.48s | Elapsed 35s | ETA 17h 57m 6s | Samples/s 34
[Epoch 1/3] Step 47/83688 | Loss 0.1855 (avg 1.4745) | Batch 0.48s | Elapsed 36s | ETA 17h 59m 33s | Samples/s 33
